img,throttle,steering
./img/img0084.jpeg,1488,1276
./img/img0085.jpeg,1284,1276
./img/img0086.jpeg,1211,1276
./img/img0087.jpeg,1069,1272
./img/img0088.jpeg,1069,1272
./img/img0089.jpeg,1129,1278
./img/img0090.jpeg,1291,1278
./img/img0091.jpeg,1285,1278
./img/img0092.jpeg,1284,1278
./img/img0093.jpeg,1284,1278
./img/img0094.jpeg,1284,1278
./img/img0095.jpeg,1289,1278
./img/img0096.jpeg,1291,1278
./img/img0097.jpeg,1291,1276
./img/img0098.jpeg,1291,1278
./img/img0099.jpeg,1397,1278
./img/img0100.jpeg,1488,1276
./img/img0101.jpeg,1489,1278
./img/img0102.jpeg,1324,1276
./img/img0103.jpeg,1263,1276
./img/img0104.jpeg,1069,1271
./img/img0105.jpeg,1070,1272
./img/img0106.jpeg,1211,1278
./img/img0107.jpeg,1291,1276
./img/img0108.jpeg,1291,1276
./img/img0109.jpeg,1291,1278
./img/img0110.jpeg,1304,1278
./img/img0111.jpeg,1468,1278
./img/img0112.jpeg,1489,1278
./img/img0113.jpeg,1300,1276
./img/img0114.jpeg,1166,1271
./img/img0115.jpeg,1078,1272
./img/img0116.jpeg,1070,1271
./img/img0117.jpeg,1150,1276
./img/img0118.jpeg,1339,1278
./img/img0119.jpeg,1442,1278
./img/img0120.jpeg,1488,1278
./img/img0121.jpeg,1488,1278
./img/img0122.jpeg,1436,1278
./img/img0123.jpeg,1335,1278
./img/img0124.jpeg,1292,1278
./img/img0125.jpeg,1292,1276
./img/img0126.jpeg,1288,1278
./img/img0127.jpeg,1285,1278
./img/img0128.jpeg,1285,1278
./img/img0129.jpeg,1141,1278
./img/img0130.jpeg,1070,1278
./img/img0131.jpeg,1137,1278
./img/img0132.jpeg,1285,1278
./img/img0133.jpeg,1275,1278
./img/img0134.jpeg,1069,1278
./img/img0135.jpeg,1102,1278
./img/img0136.jpeg,1285,1278
./img/img0137.jpeg,1283,1279
./img/img0138.jpeg,1065,1278
./img/img0139.jpeg,1132,1278
./img/img0140.jpeg,1284,1278
./img/img0141.jpeg,1285,1274
./img/img0142.jpeg,1285,1272
./img/img0143.jpeg,1285,1272
./img/img0144.jpeg,1285,1272
./img/img0145.jpeg,1287,1272
./img/img0146.jpeg,1285,1272
./img/img0147.jpeg,1285,1272
./img/img0148.jpeg,1291,1272
./img/img0149.jpeg,1291,1272
./img/img0150.jpeg,1292,1272
./img/img0151.jpeg,1292,1272
./img/img0152.jpeg,1291,1272
./img/img0153.jpeg,1291,1272
./img/img0154.jpeg,1292,1272
./img/img0155.jpeg,1291,1272
./img/img0156.jpeg,1291,1272
./img/img0157.jpeg,1291,1272
./img/img0158.jpeg,1291,1278
./img/img0159.jpeg,1291,1272
./img/img0160.jpeg,1292,1279
./img/img0161.jpeg,1285,1278
./img/img0162.jpeg,1287,1278
./img/img0163.jpeg,1285,1278
./img/img0164.jpeg,1285,1279
./img/img0165.jpeg,1285,1278
./img/img0166.jpeg,1285,1278
./img/img0167.jpeg,1287,1278
./img/img0168.jpeg,1285,1278
./img/img0169.jpeg,1285,1279
./img/img0170.jpeg,1285,1272
./img/img0171.jpeg,1285,1272
./img/img0172.jpeg,1285,1272
./img/img0173.jpeg,1289,1272
./img/img0174.jpeg,1291,1272
./img/img0175.jpeg,1291,1272
./img/img0176.jpeg,1292,1272
./img/img0177.jpeg,1292,1272
./img/img0178.jpeg,1291,1271
./img/img0179.jpeg,1291,1272
./img/img0180.jpeg,1291,1274
./img/img0181.jpeg,1291,1272
./img/img0182.jpeg,1291,1272
./img/img0183.jpeg,1292,1278
./img/img0184.jpeg,1293,1279
./img/img0185.jpeg,1292,1279
./img/img0186.jpeg,1285,1279
./img/img0187.jpeg,1287,1278
./img/img0188.jpeg,1285,1278
./img/img0189.jpeg,1287,1278
./img/img0190.jpeg,1287,1278
./img/img0191.jpeg,1285,1278
./img/img0192.jpeg,1285,1278
./img/img0193.jpeg,1287,1278
./img/img0194.jpeg,1292,1272
./img/img0195.jpeg,1292,1274
./img/img0196.jpeg,1292,1272
./img/img0197.jpeg,1291,1272
./img/img0198.jpeg,1291,1271
./img/img0199.jpeg,1292,1272
./img/img0200.jpeg,1292,1272
./img/img0201.jpeg,1291,1274
./img/img0202.jpeg,1291,1272
./img/img0203.jpeg,1292,1278
./img/img0204.jpeg,1291,1280
./img/img0205.jpeg,1292,1279
./img/img0206.jpeg,1287,1276
./img/img0207.jpeg,1287,1278
./img/img0208.jpeg,1287,1279
./img/img0209.jpeg,1285,1278
./img/img0210.jpeg,1287,1278
./img/img0211.jpeg,1287,1272
./img/img0212.jpeg,1285,1271
./img/img0213.jpeg,1292,1272
./img/img0214.jpeg,1291,1271
./img/img0215.jpeg,1292,1274
./img/img0216.jpeg,1292,1272
./img/img0217.jpeg,1292,1272
./img/img0218.jpeg,1291,1278
./img/img0219.jpeg,1292,1279
./img/img0220.jpeg,1287,1287
./img/img0221.jpeg,1279,1285
./img/img0222.jpeg,1279,1285
./img/img0223.jpeg,1279,1287
./img/img0224.jpeg,1279,1287
./img/img0225.jpeg,1279,1291
./img/img0226.jpeg,1279,1292
./img/img0227.jpeg,1274,1292
./img/img0228.jpeg,1274,1292
./img/img0229.jpeg,1274,1291
./img/img0230.jpeg,1274,1285
./img/img0231.jpeg,1274,1285
./img/img0232.jpeg,1272,1287
./img/img0233.jpeg,1272,1287
./img/img0234.jpeg,1278,1287
./img/img0235.jpeg,1278,1285
./img/img0236.jpeg,1278,1287
./img/img0237.jpeg,1279,1292
./img/img0238.jpeg,1279,1292
./img/img0239.jpeg,1274,1291
./img/img0240.jpeg,1274,1292
./img/img0241.jpeg,1272,1292
./img/img0242.jpeg,1272,1165
./img/img0243.jpeg,1272,1070
./img/img0244.jpeg,1274,1072
./img/img0245.jpeg,1272,1070
./img/img0246.jpeg,1271,1072
./img/img0247.jpeg,1272,1230
./img/img0248.jpeg,1279,1489
./img/img0249.jpeg,1279,1489
./img/img0250.jpeg,1278,1495
./img/img0251.jpeg,1274,1489
./img/img0252.jpeg,1272,1490
./img/img0253.jpeg,1274,1196
./img/img0254.jpeg,1279,1070
./img/img0255.jpeg,1272,1070
./img/img0256.jpeg,1272,1073
./img/img0257.jpeg,1274,1070
./img/img0258.jpeg,1274,1198
./img/img0259.jpeg,1280,1431
./img/img0260.jpeg,1279,1488
./img/img0261.jpeg,1278,1495
./img/img0262.jpeg,1275,1495
./img/img0263.jpeg,1272,1490
./img/img0264.jpeg,1272,1490
./img/img0265.jpeg,1279,1489
./img/img0266.jpeg,1279,1490
./img/img0267.jpeg,1279,1492
./img/img0268.jpeg,1279,1261
./img/img0269.jpeg,1272,1066
./img/img0270.jpeg,1274,1068
./img/img0271.jpeg,1279,1072
./img/img0272.jpeg,1278,1446
./img/img0273.jpeg,1275,1495
./img/img0274.jpeg,1274,1495
./img/img0275.jpeg,1278,1489
./img/img0276.jpeg,1278,1322
./img/img0277.jpeg,1274,1072
./img/img0278.jpeg,1274,1072
./img/img0279.jpeg,1276,1102
./img/img0280.jpeg,1279,1432
./img/img0281.jpeg,1278,1495
./img/img0282.jpeg,1301,1495
./img/img0283.jpeg,1527,1333
./img/img0284.jpeg,1528,1292
./img/img0285.jpeg,1372,1293
./img/img0286.jpeg,1278,1293
./img/img0287.jpeg,1278,1287
./img/img0288.jpeg,1282,1287
./img/img0289.jpeg,1284,1287
./img/img0290.jpeg,1284,1292
./img/img0291.jpeg,1282,1292
./img/img0292.jpeg,1283,1292
./img/img0293.jpeg,1283,1292
./img/img0294.jpeg,1278,1292
./img/img0295.jpeg,1278,1292
./img/img0296.jpeg,1278,1292
./img/img0297.jpeg,1283,1287
./img/img0298.jpeg,1279,1285
./img/img0299.jpeg,1282,1288
./img/img0300.jpeg,1284,1292
./img/img0301.jpeg,1283,1292
./img/img0302.jpeg,1282,1292
./img/img0303.jpeg,0,0
